Date,High,Low,Open,Close,Volume,Adj Close
2015-12-31,0.975413978099823,0.9102770090103149,0.9120979905128479,0.933542013168335,663994.0,0.933542013168335
2016-01-01,0.9548220038414001,0.9314420223236084,0.9337120056152344,0.9480239748954773,206062.0,0.9480239748954773
2016-01-02,0.9696369767189026,0.9365599751472473,0.9474009871482849,0.9371240139007568,255504.0,0.9371240139007568
2016-01-03,0.9913619756698608,0.9343129992485046,0.9384300112724304,0.971904993057251,407632.0,0.971904993057251
2016-01-04,0.9764379858970642,0.9298350214958191,0.9720450043678284,0.954479992389679,346245.0,0.954479992389679
2016-01-05,0.9705970287322998,0.9465429782867432,0.9531469941139221,0.9501760005950928,219833.0,0.9501760005950928
2016-01-06,0.9606590270996094,0.9357079863548279,0.9500280022621155,0.9508600234985352,308791.0,0.9508600234985352
2016-01-07,0.9746230244636536,0.9358299970626831,0.9558010101318359,0.9420049786567688,647462.0,0.9420049786567688
2016-01-08,0.9918249845504761,0.9397150278091431,0.9427520036697388,0.9867889881134033,545600.0,0.9867889881134033
2016-01-09,0.9923449754714966,0.9735999703407288,0.9855009913444519,0.9868329763412476,226281.0,0.9868329763412476
2016-01-10,1.0010299682617188,0.9750990271568298,0.9855570197105408,0.9992309808731079,390888.0,0.9992309808731079
2016-01-11,1.0699100494384766,0.9992160201072693,0.9992160201072693,1.0615999698638916,1011920.0,1.0615999698638916
2016-01-12,1.282829999923706,1.050089955329895,1.066100001335144,1.1410000324249268,2898760.0,1.1410000324249268
2016-01-13,1.1521799564361572,1.0770299434661865,1.1354700326919556,1.1252000331878662,1005910.0,1.1252000331878662
2016-01-14,1.1895899772644043,1.1031899452209473,1.1220999956130981,1.1895899772644043,751961.0,1.1895899772644043
2016-01-15,1.3193800449371338,1.142930030822754,1.184440016746521,1.208009958267212,3910550.0,1.208009958267212
2016-01-16,1.3081599473953247,1.1680099964141846,1.220460057258606,1.220289945602417,2462630.0,1.220289945602417
2016-01-17,1.3288300037384033,1.2077699899673462,1.2214699983596802,1.3274699449539185,1171150.0,1.3274699449539185
2016-01-18,1.5428999662399292,1.322219967842102,1.3323099613189697,1.4263399839401245,4278930.0,1.4263399839401245
2016-01-19,1.4646899700164795,1.3050099611282349,1.4226100444793701,1.3713899850845337,2446740.0,1.3713899850845337
2016-01-20,1.6192400455474854,1.3537100553512573,1.3631800413131714,1.5318200588226318,2933220.0,1.5318200588226318
2016-01-21,1.5854899883270264,1.4866900444030762,1.5326999425888062,1.553570032119751,1614960.0,1.553570032119751
2016-01-22,1.5814599990844727,1.465880036354065,1.547029972076416,1.501270055770874,1567240.0,1.501270055770874
2016-01-23,2.0301198959350586,1.4960500001907349,1.5041199922561646,1.9726699590682983,7370980.0,1.9726699590682983
2016-01-24,2.298419952392578,1.9005399942398071,1.9005399942398071,2.141200065612793,9669770.0,2.141200065612793
2016-01-25,2.6625800132751465,2.0561399459838867,2.1476399898529053,2.499269962310791,10739300.0,2.499269962310791
